Advertiser Id,Campaign ID,Pricing Type,RO ID,Impressions,Clicks,Budget Consumed,PDP Views,PLP Views,Add to Cart,Add to Wishlist,Attributed Revenue,Direct Revenue,Indirect Revenue,Direct Quantity,Indirect Quantity,Total Quantity,ROI,Campaign Name,Campaign Start Date,Campaign End Date,Campaign Status,Campaign Budget in Currency,Business Unit,Advertiser Name,Business Account Id,Business Account Name,Self Serve Flag,Entity Details Flag,Brand Code,Brand Name
MYIA61W4X2OKQ7,MYEHAY4DX72SV2,VCPM,MYGPNY4KKZ188Y,594,32,70.4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TEST_26-3,Tue Mar 26 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,PAUSED,10000.0,Women's Footwear,Test_display,MYJOK44DPHXX0L,QA_Test_Display,na,MDPL,9113,1 Walk
MYZRJLZW2RC6RD,MY17UF51WYUTJV,VCPM,MYH4IQRIOE0Y8J,300631,1191,49981.20000000021,0,0,0.0,0.0,36282.0,27403.0,8879.0,14.0,0.0,14.0,0.7259,US Polo Assn_13th March_vCPM_TEST_5,Wed Mar 13 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,BUDGET_MET,50000.0,Men's Casual Footwear,U.S. Polo Assn._Men's Essentials_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,1211,U.S. Polo Assn.
MY90017UAE4DJV,MYHR49ISYMSQ1C,VCPM,MYHYEZTC1NOE8H,3277,201,604.65,0,0,0.0,0.0,3464.0,3464.0,0.0,6.0,0.0,6.0,5.7289,Roadster_Test_23rd_March_vCPM,Sat Mar 23 00:00:00 IST 2024,Tue Apr 30 23:59:59 IST 2024,PAUSED,400000.0,Men's Casual Wear,Roadster_MFB_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,4716,Roadster
MY90017UAE4DJV,MYLB1A69HSPKY2,BPVS,MYHYEZTC1NOE8H,9780,182,0.0,0,0,0.0,0.0,3570.0,2660.0,910.0,8.0,0.0,8.0,0.0,Roadster_Test_26th_March_BPVS,Sat Mar 23 00:00:00 IST 2024,Tue Apr 30 23:59:59 IST 2024,LIVE,200000.0,Women's Western Wear,Roadster_MFB_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,4716,Roadster
MYG9LS6W1UA374,MYJ4J1UA48W63D,VCPM,MYHZ1BRT7EDOV9,10827,545,1968.599999999999,0,0,0.0,0.0,12603.0,12603.0,0.0,17.0,0.0,17.0,6.402,Jack and Jones_19th March_vCPM_TEST,Tue Mar 19 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,PAUSED,10000.0,Men's Casual Wear,Jack & Jones_Men's Casaul Wear_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,1192,Jack & Jones
MYPMYW8SQFQ963,MYIBE5H6EY3OR4,VCPM,MYIJRZAURQIKOF,97855,200,11588.100000000302,0,0,0.0,0.0,1999.0,1999.0,0.0,1.0,0.0,1.0,0.1725,CMP-RARARABBIT-Search,Tue Mar 05 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,ABORTED,100000.0,Men's Casual Wear,Rare Rabbit_Men's Casaul Wear_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,22491,RARE RABBIT
MYPMYW8SQFQ963,MYLRQD9WSIFKW4,BPVS,MYIJRZAURQIKOF,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CM-RARE RABBIT-PLATINUM-BPVS,Tue Mar 05 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,ABORTED,100000.0,Men's Casual Wear,Rare Rabbit_Men's Casaul Wear_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,22491,RARE RABBIT
MYG9LS6W1UA374,MYFIXGXDQJWOQ7,BPVS,MYJ1WPAJDZYQJT,981,64,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JacknJones_Test_21st_March_BPVS,Wed Mar 20 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,LIVE,10000.0,Men's Casual Wear,Jack & Jones_Men's Casaul Wear_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,1192,Jack & Jones
MYDU5KNHEN2AYJ,MY1J0F7MNQXN7Z,BPVS,MYK07UM09CSB6A,3221,318,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jockey_Test_25th_March_BPVS,Sat Mar 23 00:00:00 IST 2024,Tue Apr 30 23:59:59 IST 2024,LIVE,200000.0,Men's Essentials,Jockey_Men's Essentials_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,1330,Jockey
MYDU5KNHEN2AYJ,MYVPS65Q6RSYA0,VCPM,MYK07UM09CSB6A,1069,47,197.85,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jockey_Test_23rd_March_vCPM,Sat Mar 23 00:00:00 IST 2024,Tue Apr 30 23:59:59 IST 2024,PAUSED,400000.0,Men's Essentials,Jockey_Men's Essentials_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,1330,Jockey
MYDU5KNHEN2AYJ,MY5R5567E1GRTU,VCPM,MYKJ5H0ABMVGAI,10340,478,1884.8999999999987,0,0,0.0,0.0,1272.0,0.0,1272.0,0.0,0.0,0.0,0.6748,Jockey_19th March_vCPM_TEST,Tue Mar 19 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,PAUSED,10000.0,Men's Essentials,Jockey_Men's Essentials_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,1330,Jockey
MYPMYW8SQFQ963,MY8513AVSKID60,BPVS,MYKR426VLYS8P1,1002,62,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RARE RABBIT_Test_21st_March_BPVS,Wed Mar 20 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,LIVE,10000.0,Men's Casual Wear,Rare Rabbit_Men's Casaul Wear_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,22491,RARE RABBIT
MY90017UAE4DJV,MYCODB5JXIQQYT,VCPM,MYMJAD0CCMDFEF,52377,1762,15894.25,0,0,0.0,0.0,20562.0,19007.0,1555.0,34.0,0.0,34.0,1.2937,CMP-ROADSTER-HOCMPSALE-MARCH-14,Thu Mar 14 00:00:00 IST 2024,Sun Mar 17 23:59:59 IST 2024,ENDED,20000.0,Men's Casual Wear,Roadster_MFB_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,4716,Roadster
MYMVAJWXB07CU0,MYBNFD2P9NKIND,BPVS,MYN6HV2KZ7E8U9,32,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dove_11th March_BPVS_TEST,Mon Mar 11 00:00:00 IST 2024,Wed Mar 20 23:59:59 IST 2024,ABORTED,100000.0,Personal Care,Dove_Personal Care_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,6671,Dove
MYGHD597ON6IZ1,MY0VPFS6UQW2VE,VCPM,MYNSLC53WOACF2,180699,501,19394.399999999783,0,0,0.0,0.0,24616.0,24616.0,0.0,19.0,0.0,19.0,1.2692,CMP-Libas-March13,Wed Mar 13 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,ABORTED,50000.0,Women's Ethnic,Libas_Women's Ethnic_Display UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,MDPL,7263 | 16198,Libas | Gerua By Libas
MYKVM0B7HCZVH6,MYQ184IOCPK34T,BPVS,MYOHFGGSO82IU4,845,49,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lakme_Test_21st_March_BPVS,Wed Mar 20 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,LIVE,10000.0,Personal Care,Lakme _Personal Care_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,3918,Lakme
MY90017UAE4DJV,MYHEY1VTPP121Y,VCPM,MYPKQGKZ4CUGM0,307918,300,34146.49999999998,0,0,0.0,0.0,19441.0,18740.0,701.0,30.0,0.0,30.0,0.5693,CMP-Roaddster-Mar18,Tue Mar 19 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,LIVE,50000.0,Men's Casual Wear,Roadster_MFB_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,4716,Roadster
MYKVM0B7HCZVH6,MY0YW2MDEBB3TS,VCPM,MYPOTW8S4PYXMQ,74062,2115,17866.000000000022,0,0,0.0,0.0,3455.0,3455.0,0.0,14.0,0.0,14.0,0.1934,CMP-LAKME-MARCH-12,Tue Mar 12 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,ABORTED,100000.0,Personal Care,Lakme _Personal Care_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,3918,Lakme
MYMMXBHPBZJLO3,MYEOG0TZP4XQQD,VCPM,MYPPL5624V64JS,27,4,0.3739999999999999,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TestADD,Tue Mar 05 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,LIVE,10000.0,na,Display test,MYG3IPZ6ZQ2A7U,TEST (DO NOT USE),Self-Serve,MJIPL,9113,1 Walk
MYMMXBHPBZJLO3,MYLYCDFGO52JV6,VCPM,MYPPL5624V64JS,2763,12,28.209999999999635,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,search_testQA1,Wed Feb 28 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,ABORTED,10000.0,na,Display test,MYG3IPZ6ZQ2A7U,TEST (DO NOT USE),Self-Serve,MJIPL,9113,1 Walk
MYPMYW8SQFQ963,MYU6SHLJAMIIM1,VCPM,MYQ18OQ0DYSCIQ,5012,379,1246.2,0,0,0.0,0.0,4598.0,4598.0,0.0,2.0,0.0,2.0,3.6896,CMP-RareRabbit-March 11,Mon Mar 11 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,ABORTED,100000.0,Men's Casual Wear,Rare Rabbit_Men's Casaul Wear_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,22491,RARE RABBIT
MYMVAJWXB07CU0,MYCDQD5XC6DZZW,VCPM,MYQQQ3N4EIBK3H,51849,2876,10224.29999999999,0,0,0.0,0.0,260.0,260.0,0.0,1.0,0.0,1.0,0.0254,Dove_13th March_vCPM_TEST,Wed Mar 13 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,BUDGET_MET,10000.0,Personal Care,Dove_Personal Care_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,6671,Dove
MYGHD597ON6IZ1,MYKYPLA1JEB95B,VCPM,MYRBTIJWW8UVYZ,53864,1342,16112.5,0,0,0.0,0.0,7600.0,7600.0,0.0,5.0,0.0,5.0,0.4717,CMP-CMPBAS-HOCMPSALE-MARCH-14,Thu Mar 14 00:00:00 IST 2024,Sun Mar 17 23:59:59 IST 2024,ENDED,20000.0,Women's Ethnic,Libas_Women's Ethnic_Display UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,MDPL,7263,Libas
MY94PBQ1RE0UNI,MYBPJ0EZKEMEVA,VCPM,MYRUR27XGNE40M,298698,475,33028.7000000003,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CMP-CRD-MCW-MARCH-14,Thu Mar 14 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,ABORTED,100000.0,Men's Casual Wear,Crocodile_Men's Casaul Wear_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,20404,Crocodile
MYDU5KNHEN2AYJ,MY2FVMNN2JM8LA,BPVS,MYS1V0W45AVNFN,5143,316,0.0,0,0,0.0,0.0,2985.0,2596.0,389.0,3.0,0.0,3.0,0.0,Jockey_Test_26th_March_BPVS,Tue Mar 26 00:00:00 IST 2024,Tue Apr 30 23:59:59 IST 2024,LIVE,200000.0,Men's Essentials,Jockey_Men's Essentials_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,1330,Jockey
MYSF1MF7LOT0XA,MYXWT8FOBZMD9G,VCPM,MYS42ISSDVUEDW,140137,763,15552.19999999998,0,0,0.0,0.0,33895.0,33895.0,0.0,135.0,0.0,135.0,2.1794,CMP-Denver-PC-MARCH-14,Thu Mar 14 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,ABORTED,100000.0,Personal Care,Denver_Personal Care_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,24533,Denver
MYG9LS6W1UA374,MYLXY1S97BUZBX,VCPM,MYS8JTCQG7OBO1,2807,181,521.8499999999999,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JacknJones_Test_23rd_March_vCPM,Sat Mar 23 00:00:00 IST 2024,Tue Apr 30 23:59:59 IST 2024,PAUSED,400000.0,Men's Casual Wear,Jack & Jones_Men's Casaul Wear_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,1192,Jack & Jones
MYG9LS6W1UA374,MYW15GVUNYD9FY,BPVS,MYS8JTCQG7OBO1,3136,317,0.0,0,0,0.0,0.0,629.0,629.0,0.0,1.0,0.0,1.0,0.0,JacknJones_Test_25th_March_BPVS,Sat Mar 23 00:00:00 IST 2024,Tue Apr 30 23:59:59 IST 2024,LIVE,200000.0,Men's Casual Wear,Jack & Jones_Men's Casaul Wear_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,1192,Jack & Jones
MYJEK0YE0FRMQB,MYK5Y915IBXP6I,BPVS,MYSCA37DXT4FK7,1887,46,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Allen Solly_13th March_BPVS_TEST,Wed Mar 13 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,ABORTED,100000.0,Men's Casual Wear,Allen Solly_Men's Work Wear_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,128,Allen Solly
MY90017UAE4DJV,MYDXSDT44SJHO9,BPVS,MYSFRTQMIABPTD,24547,935,0.0,0,0,0.0,0.0,23317.0,23317.0,0.0,36.0,0.0,36.0,0.0,Roadster_Test_21st_March_BPVS,Wed Mar 20 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,LIVE,10000.0,Men's Casual Wear,Roadster_MFB_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,4716,Roadster
MYKVM0B7HCZVH6,MYX1KHU7PUFZXI,BPVS,MYSHETPILDRJ9D,82346,4050,0.0,0,0,0.0,0.0,14983.0,14983.0,0.0,60.0,0.0,60.0,0.0,Lakme _13th March_BPVS_TEST,Wed Mar 13 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,ABORTED,100000.0,Personal Care,Lakme _Personal Care_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,3918,Lakme
MYMVAJWXB07CU0,MYAYXT31013L4U,BPVS,MYSU1UINGLOOH6,1031,64,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dove_Test_21st_March_BPVS,Wed Mar 20 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,LIVE,10000.0,Personal Care,Dove_Personal Care_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,6671,Dove
MYQBSHXNO3OFSR,MY9HTVUG7W6LI0,BPVS,MYU1YGYU33HH99,5308,301,0.0,0,0,0.0,0.0,4626.0,4626.0,0.0,4.0,0.0,4.0,0.0,Snitch_Test_26th_March_BPVS,Tue Mar 26 00:00:00 IST 2024,Tue Apr 30 23:59:59 IST 2024,LIVE,200000.0,Men's Casual Wear,Snitch_Men's Casaul Wear_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,83714,Snitch
MYPLJJFK3EBWQD,MYW0TCVX6TDFCP,VCPM,MYUF1BBAURN1SN,52400,1964,15976.0,0,0,0.0,0.0,340.0,0.0,340.0,0.0,0.0,0.0,0.0213,CMP-TRESEMME-HOCMPSALE-MARCH-14,Thu Mar 14 00:00:00 IST 2024,Sun Mar 17 23:59:59 IST 2024,ENDED,20000.0,Home Furnishing,Tresemme_Personal Care_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,7193,TRESemme
MYRBN3UBJUVJH9,MYGCDKQARNOXFF,VCPM,MYV91SPW86DOL0,10528,434,1899.9,0,0,0.0,0.0,1937.0,0.0,1937.0,0.0,0.0,0.0,1.0195,Invictus_19th March_vCPM_TEST,Tue Mar 19 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,PAUSED,10000.0,Women's Western Wear,Invictus_MFB_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,7659,INVICTUS
MYZ6PPL7LKYV81,MYJ2AMIUIL016Z,BPVS,MYVKG1KQPHY1S7,43409,2401,0.0,0,0,0.0,0.0,48665.0,46573.0,2092.0,46.0,0.0,46.0,0.0,Wrogn_11th March_BPVS_TEST,Mon Mar 11 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,ABORTED,100000.0,Men's Casual Wear,Wrogn_MFB_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,8626,WROGN
MYPMYW8SQFQ963,MYDABVBH9PEHVJ,VCPM,MYVYJIQI7GJNI2,130120,216,38915.5,0,0,0.0,0.0,7496.0,7496.0,0.0,4.0,0.0,4.0,0.1926,CM-RARE RABBIT-Gold-vCPM,Wed Mar 13 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,ABORTED,50000.0,Men's Casual Wear,Rare Rabbit_Men's Casaul Wear_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,22491,RARE RABBIT
MYDU5KNHEN2AYJ,MYR2S9G2RPY8JP,BPVS,MYWDYC0IUK0SO3,1008,54,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jockey_Test_21st_March_BPVS,Wed Mar 20 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,LIVE,10000.0,Men's Essentials,Jockey_Men's Essentials_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,1330,Jockey
MYQBSHXNO3OFSR,MY0YXJZY1H3KO9,VCPM,MYXTTITJ32WGNJ,479337,845,50551.100000005055,0,0,0.0,0.0,23219.0,23219.0,0.0,25.0,0.0,25.0,0.4593,Snitch_13th March_vCPM_TEST_1,Wed Mar 13 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,BUDGET_MET,50000.0,Men's Casual Wear,Snitch_Men's Casaul Wear_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,83714,Snitch
MYZ513WRF5PGVP,MY9NX9AAT24NUG,VCPM,MYXU96DUK6RYNU,306231,2455,33417.69999999997,0,0,0.0,0.0,49904.0,0.0,49904.0,0.0,0.0,0.0,1.4933,CMP-Dream Weaverz-Mar18,Tue Mar 19 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,LIVE,50000.0,Home Furnishing,Dream Weaverz_Home Furnishing_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,66608,DREAM WEAVERZ
MYG9LS6W1UA374,MYO56SHB8IR86E,BPVS,MYZ45JJSSXH0V5,5911,420,0.0,0,0,0.0,0.0,9738.0,9738.0,0.0,9.0,0.0,9.0,0.0,JacknJones_Test_26th_March_BPVS,Tue Mar 26 00:00:00 IST 2024,Tue Apr 30 23:59:59 IST 2024,LIVE,200000.0,Men's Casual Wear,Jack & Jones_Men's Casaul Wear_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,1192,Jack & Jones
MYZ6PPL7LKYV81,MYMXBQVNJ55HV8,VCPM,MYZDKBT63Q3OG5,2766,175,516.15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WROGN_Test_23rd_March_vCPM,Sat Mar 23 00:00:00 IST 2024,Tue Apr 30 23:59:59 IST 2024,PAUSED,400000.0,Men's Casual Wear,Wrogn_MFB_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,8626,WROGN
MYZ6PPL7LKYV81,MYVLH4QYYZM7Y3,BPVS,MYZDKBT63Q3OG5,3226,321,0.0,0,0,0.0,0.0,2069.0,2069.0,0.0,2.0,0.0,2.0,0.0,WROGN_Test_25th_March_BPVS,Sat Mar 23 00:00:00 IST 2024,Tue Apr 30 23:59:59 IST 2024,LIVE,200000.0,Men's Casual Wear,Wrogn_MFB_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,8626,WROGN
MYMVAJWXB07CU0,MYC6RHJH4HTCKT,VCPM,MYZZT76SU0V648,85667,2671,15832.199999999995,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dove_Test_23rd_March_vCPM,Sat Mar 23 00:00:00 IST 2024,Tue Apr 30 23:59:59 IST 2024,PAUSED,400000.0,Personal Care,Dove_Personal Care_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,6671,Dove
MYMVAJWXB07CU0,MYZLU2LO9IRYVP,BPVS,MYZZT76SU0V648,10380,57,0.0,0,0,0.0,0.0,302.0,302.0,0.0,1.0,0.0,1.0,0.0,Dove_Test_26th_March_BPVS,Sat Mar 23 00:00:00 IST 2024,Tue Apr 30 23:59:59 IST 2024,LIVE,200000.0,Personal Care,Dove_Personal Care_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,6671,Dove
